5,bal,81,1335.4
15,bal,79,6024.55
17,bal,78,7046.0
35,bal,68,5178.4
38,bal,85,8700.0
69,bal,68,3128895.55
89,bal,75,88.67
96,bal,83,32.58
103,bal,77,4.2
106,bal,86,30357.94
113,bal,76,66.59
118,bal,73,54861.68
138,bal,72,28185.75
144,bal,82,35492.99
158,bal,75,270809.14
161,bal,85,174.84
164,bal,86,6.86
171,bal,83,8349.43
183,bal,88,97495.41
189,bal,76,184.19
191,bal,71,18924.61
215,bal,81,222.0
222,bal,77,24388.31
232,bal,81,946.11
281,bal,82,12156.4
304,bal,73,0.94
321,bal,73,33038.12
326,bal,81,0.0
333,bal,89,5262457.18
340,bal,82,8613.05
341,bal,80,50022.17
394,bal,79,3026.2
402,bal,74,50609.46
404,bal,66,4128.95
412,bal,81,2276.76
424,bal,69,1408.89
481,bal,66,18924.45
536,bal,66,2031.26
538,bal,76,180961.79
558,bal,78,39019.47
572,bal,76,50193.62
581,bal,84,17655.23
582,bal,81,80053.78
587,bal,86,7821.56
609,bal,67,9743.89
611,bal,81,505732.48
620,bal,76,12023.78
655,bal,67,201934.48
670,bal,80,157891.02
685,bal,88,41749.72
698,bal,87,393.34
709,bal,76,4706.69
712,bal,80,759624.97
724,bal,79,50593.37
737,bal,89,59.69
740,bal,86,313229.03
744,bal,86,1495.93
760,bal,89,11889.34
780,bal,74,2916.41
788,bal,78,0.05
818,bal,72,0.0
819,bal,81,538.74
823,bal,88,80420.18
834,bal,74,9.96
842,bal,66,20682.24
847,bal,74,10.46
888,bal,77,875.61
898,bal,78,825903.25
971,bal,75,0.07
972,bal,66,3.88
990,bal,67,5926.93
1004,bal,73,688.93
1021,bal,71,354529.16
1040,bal,66,7.56
1043,bal,88,28139.28
1053,bal,80,1163.15
1060,bal,75,618.26
1067,bal,72,20.11
1083,bal,75,1716879.72
1099,bal,73,4115.41
1109,bal,68,1436.3
1114,bal,78,1728.49
1119,bal,82,56310.88
1132,bal,73,1774.35
1136,bal,83,199.1
1148,bal,74,251988.88
1158,bal,83,10038.03
1184,bal,74,4876.19
1187,bal,70,37865.22
1209,bal,73,391.98
1211,bal,88,12686.18
1214,bal,75,178275.95
1233,bal,72,38197.85
1252,bal,74,6345.01
1258,bal,75,4545828.78
1260,bal,74,8051.61
1269,bal,72,2116.38
1291,bal,72,2679.5
1300,bal,68,1597.3
1308,bal,71,0.03
1312,bal,89,6026.07
1342,bal,77,10361.28
1357,bal,82,1852.99
1363,bal,85,3186.0
1369,bal,83,831084.93
1384,bal,81,9.56
1385,bal,67,304.07
1398,bal,81,1004.52
1420,bal,83,6780.17
1454,bal,84,12755.12
1468,bal,87,11.94
1498,bal,77,3603.14
1506,bal,77,16458.6
1573,bal,83,11461.48
1589,bal,81,6026.35
1596,bal,75,804.62
1616,bal,82,683017.92
1658,bal,67,331458.15
1661,bal,86,1867.47
1673,bal,80,25894.06
1679,bal,89,24244.1
1694,bal,87,33406.53
1696,bal,79,417.61
1730,bal,69,20062.64
1731,bal,81,454.7
1741,bal,78,35714.35
1746,bal,77,552.32
1748,bal,82,3217.49
1759,bal,66,216751.33
1763,bal,89,561728.08
1783,bal,72,0.87
1786,bal,69,7551.12
1801,bal,80,9838.9
1805,bal,79,15308.23
1810,bal,81,0.0
1816,bal,78,178.83
1819,bal,72,11.84
1828,bal,88,9643.52
1829,bal,69,11487.11
1835,bal,82,25574.55
1840,bal,88,5507.49
1841,bal,83,41297.15
1887,bal,86,597.57
1890,bal,80,444367.77
1892,bal,81,50.41
1893,bal,74,75031.03
1922,bal,78,10871.26
1932,bal,67,2016873.0
1936,bal,81,1717.07
1943,bal,89,10935.0
1958,bal,74,533.25
1962,bal,84,16970.36
1998,bal,88,11217.97
2034,bal,77,13120.57
2070,bal,88,5926.49
2079,bal,89,10904.92
2086,bal,87,2.91
2087,bal,89,172346.66
2090,bal,81,454872.99
2103,bal,66,7453.65
2111,bal,78,7568.07
2113,bal,82,320422.36
2140,bal,80,2751.08
2163,bal,76,9474.38
2187,bal,83,1645.14
2192,bal,69,6253.45
2201,bal,67,28456.01
2207,bal,81,533.74
2212,bal,70,23878.76
2221,bal,84,135082.32
2233,bal,70,42768.32
2245,bal,82,5009.45
2251,bal,80,26596.92
2273,bal,84,15307.54
2274,bal,83,3910835.75
2284,bal,81,17730.57
2297,bal,78,383578.0
2302,bal,74,13382.43
2303,bal,80,17504.73
2349,bal,67,18174.99
2350,bal,74,231669.98
2351,bal,86,16891.05
2352,bal,76,225.33
2359,bal,75,0.11
2366,bal,86,49.54
2376,bal,87,653.58
2379,bal,74,32424.34
2403,bal,73,639655.05
2478,bal,78,60867.05
2505,bal,84,48.72
2508,bal,79,19007.76
