ISIR	QRTA	TOP20	VOLUME
2085.197222222222	1643.964480874317	a12a602b418f585d8ef063eecce473b5	274944963.8095087
2085.197222222222	1643.964480874317	d1d80cc43467c93d25ba6b30a0f8f0eb	274944963.8095087
2085.197222222222	1643.964480874317	04b5f15252e532e9f482c52ee4d83184	274944963.8095087
2085.197222222222	1643.964480874317	e97bed5c24e55ae9204c99e6e9dcded7	274944963.8095087
2085.197222222222	1643.964480874317	15ce0345b73e5367146c8f5aab42881d	274944963.8095087
2085.197222222222	1643.964480874317	eaa9f13590340a5595b31efc93bccee1	274944963.8095087
2085.197222222222	1643.964480874317	d84b9cba583c278bc1a07962e2df31c8	274944963.8095087
2085.197222222222	1643.964480874317	210d068581abd5c6b7be01a0f607d396	274944963.8095087
2085.197222222222	1643.964480874317	cbefe8897d2ee57d0794d2657c72f5dd	274944963.8095087
2085.197222222222	1643.964480874317	364c3d2f108163f590c6a3ea621dc0ae	274944963.8095087
2085.197222222222	1643.964480874317	ab31fee903eb206be812f6bd3e5bb028	274944963.8095087
2085.197222222222	1643.964480874317	afa9a156b90e61f5160ad93de41cd880	274944963.8095087
2085.197222222222	1643.964480874317	940f25c9b102cfd7c61abc142752baf5	274944963.8095087
2085.197222222222	1643.964480874317	4b0777b4c2af9a46c9e26119a7a45141	274944963.8095087
2085.197222222222	1643.964480874317	adc8e8373cc6a383eda0591e4cf7d3e3	274944963.8095087
2085.197222222222	1643.964480874317	28480fa0cbd98967c4007fa104c987b9	274944963.8095087
2085.197222222222	1643.964480874317	2606213187cbfb1eb7d30797f6574821	274944963.8095087
2085.197222222222	1643.964480874317	bcdb524d79225c0b9989893c9b6177e3	274944963.8095087
2085.197222222222	1643.964480874317	c2518f5e685b7a0806129fa89152152b	274944963.8095087
2085.197222222222	1643.964480874317	525b50e682ec60b40f1ac2a57c1f048a	274944963.8095087
